orgID,oldID,CountDate,MaterialID,Counter,Priority,Completed,Unscheduled,Material Not Found,Reason Scheduled,CM Print Flag,Notes
1,1241,07/01/2022,318,,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1242,07/01/2022,424,,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1247,07/01/2022,550,,,TRUE,FALSE,FALSE,Material Movement,FALSE,"This is L-10, right?"
1,1250,07/01/2022,654,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1253,07/01/2022,238,,,TRUE,FALSE,FALSE,"Received Material, orders picked",FALSE,
1,1255,07/01/2022,10,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1257,07/01/2022,33,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1259,07/05/2022,61,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1262,07/01/2022,373,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1263,07/01/2022,374,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1264,07/05/2022,287,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1265,07/05/2022,467,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1270,07/01/2022,149,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1275,07/05/2022,268,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,physically count!!
1,1282,07/05/2022,259,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1283,07/01/2022,135,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1284,07/05/2022,356,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1285,07/07/2022,104,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1286,07/05/2022,193,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1287,07/06/2022,133,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1290,07/08/2022,256,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1291,07/01/2022,24,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,missing 1 pallet??
1,1292,07/01/2022,6,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,Is the bag of 5000 this part?
1,1293,07/08/2022,129,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,missing 90?
1,1294,07/06/2022,172,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,SAP=208
1,1295,07/05/2022,224,,hot,FALSE,FALSE,FALSE,Material Movement,FALSE,Moving target - good luck!!
1,1296,07/08/2022,232,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,Missing aq lot - search EVERYWHERE!!
1,1297,07/06/2022,286,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,8 missing??
1,1298,07/06/2022,335,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,SAP=1312
1,1299,07/01/2022,684,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,"SAP=256, look EVERYWHERE in 868, IQC"
1,1300,07/01/2022,685,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,missing 1 plt?? 868_IQC???
1,1301,07/07/2022,489,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,missing 206
1,1302,07/08/2022,549,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,missing 6168
1,1303,07/06/2022,554,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,count CAREFULLY.  Missing 1169
1,1304,07/08/2022,8,,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1305,07/07/2022,22,,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1306,07/07/2022,66,,,TRUE,FALSE,FALSE,Received Material ?,FALSE,
1,1307,07/05/2022,266,,,TRUE,FALSE,FALSE,Received Material,FALSE,Ask Ryan before counting
1,1308,07/08/2022,16,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1309,07/05/2022,120,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1310,07/07/2022,23,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1311,07/08/2022,24,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1312,07/05/2022,65,,,FALSE,FALSE,FALSE,Picked for Orders,FALSE,
1,1313,07/05/2022,324,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1314,07/05/2022,628,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1315,07/05/2022,637,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1317,07/06/2022,224,,hot,TRUE,FALSE,FALSE,Picked for Orders,FALSE,Moving target - good luck!!
1,1318,07/07/2022,65,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1319,07/06/2022,120,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,
1,1320,07/06/2022,193,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,Count ALL boxes!
1,1321,07/06/2022,259,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,Check IMS for locations.  Check HVC carefully
1,1322,07/07/2022,268,,,TRUE,FALSE,FALSE,,FALSE,
1,1323,07/07/2022,287,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,Are there any at SMC?
1,1324,07/07/2022,356,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,"Count HVC_floor, IQC CAREFULLY!"
1,1325,07/07/2022,467,,vfy,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,Count ALL boxes (move them around!!). Count EVERYWHERE!!
1,1326,07/07/2022,28,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1327,07/07/2022,83,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1328,07/07/2022,85,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1329,07/06/2022,98,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1330,07/06/2022,149,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1331,07/07/2022,192,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1332,07/08/2022,196,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1333,07/06/2022,218,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1334,07/07/2022,254,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1335,07/06/2022,261,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1336,07/07/2022,311,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1337,07/08/2022,318,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1338,07/06/2022,313,,,TRUE,FALSE,FALSE,Material Movement,FALSE,What part type? Where is it? Is it L-10?
1,1339,07/08/2022,426,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1340,07/08/2022,324,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1341,07/08/2022,684,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1342,07/08/2022,685,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1343,07/12/2022,662,Calvin,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1344,07/07/2022,224,,hot,TRUE,FALSE,FALSE,Picked for Orders,FALSE,Moving target - good luck!!
1,1345,07/12/2022,9,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1346,07/12/2022,21,Calvin,,TRUE,FALSE,FALSE,"Picked for Orders, Matl rcvd",FALSE,
1,1347,07/12/2022,33,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1348,07/12/2022,63,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1349,07/12/2022,87,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1350,07/11/2022,120,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1351,07/11/2022,218,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1352,07/13/2022,554,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1353,07/11/2022,628,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1354,07/11/2022,637,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1355,07/13/2022,105,Calvin,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1356,07/13/2022,135,Calvin,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1357,07/12/2022,147,Calvin,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1358,07/08/2022,294,,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1359,07/13/2022,654,Calvin,,TRUE,FALSE,FALSE,Received Material,FALSE,
1,1360,07/12/2022,10,Calvin,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1361,07/13/2022,18,Calvin,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1362,07/13/2022,20,Calvin,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1363,07/11/2022,29,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1364,07/11/2022,140,,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1365,07/11/2022,238,,,TRUE,FALSE,FALSE,Material Movement,FALSE,
1,1366,07/13/2022,259,Calvin,,TRUE,FALSE,FALSE,Verify Prev Count,FALSE,"phys=919, SAP=1953"
1,1367,07/13/2022,335,Calvin,,TRUE,FALSE,FALSE,Picked for Orders,FALSE,
1,1368,07/07/2022,431,,,FALSE,FALSE,FALSE,Initial count,FALSE,Check IMS
