orgID,oldID,CountDate,MaterialID,Counter,CTD QTY Expr,BIN/LOC,PLT/POS,PKG ID/Desc,TAG QTY,NOT PHYS CTD,Notes
1,1941,07/01/2022,238,Calvin,1080*4+791,868_IQC,,,,FALSE,
1,1942,07/01/2022,135,Calvin,22,868_IQC,,,,FALSE,
1,1943,07/01/2022,684,Calvin,16,868_IQC,,,,FALSE,
1,1944,07/01/2022,135,Calvin,22*18,868_IQC,,no tag,,FALSE,
1,1945,07/01/2022,33,Calvin,480*7+288*12+240+384*10,868_E8-E11,,,,FALSE,
1,1946,07/01/2022,24,Calvin,3200*27,868_E8-E9,,,,FALSE,
1,1947,07/01/2022,685,Calvin,11+75+4+40+22+90*3,868_E8,,,,FALSE,
1,1948,07/01/2022,238,Calvin,1080*4,868_D13,,,,FALSE,
1,1949,07/01/2022,10,Calvin,1000*72,SMC_Xena_1-1,,,,FALSE,
1,1950,07/01/2022,6,Calvin,55000,SMC_Xena_1-1,,,,FALSE,
1,1951,07/01/2022,550,Calvin,12000*2+1000,SMC_Xena_1-1,,no tag on the Qty=1000,,FALSE,
1,1952,07/01/2022,318,Calvin,5000*4+4400+475+25000*2+20000+10000+4525+324+2018+10+116,SMC_Xena_1-1,,,,FALSE,
1,1953,07/01/2022,654,Calvin,15000*2+10000*6+5000,SMC_Xena_1-1,,,,FALSE,
1,1954,07/01/2022,135,Calvin,6+1,SMC_AST_2-1,plt 5,,,FALSE,
1,1955,07/01/2022,149,Calvin,5,SMC_AST_2-1,plt 4,,,FALSE,
1,1956,07/01/2022,238,Calvin,60*14+29+33+2,SMC_AST_1-1,plt 3,,,FALSE,
1,1957,07/01/2022,33,Calvin,59+147,"SMC_RBFB_3-1, 4-1",,,,FALSE,
1,1958,07/01/2022,24,Calvin,2412+5,SMC_RBFB_3-1,,,,FALSE,
1,1959,07/01/2022,373,Calvin,51+90,SMC_RBFB_2-1,,,,FALSE,
1,1960,07/01/2022,374,Calvin,68,SMC_RBFB_2-1,,,,FALSE,
1,1961,07/01/2022,684,Calvin,12,SMC_RBFB_2-1,,,,FALSE,
1,1962,07/01/2022,685,Calvin,2,SMC_RBFB_1-1,,,,FALSE,
1,1963,07/01/2022,135,Calvin,22*2,IQC,West,,,FALSE,
1,1964,07/01/2022,654,Calvin,10000,IQC,West,no tag,,FALSE,
1,1965,07/01/2022,654,Calvin,14862,IQC,,,,FALSE,
1,1966,07/01/2022,424,Calvin,5000,IQC,,,,FALSE,
1,1967,07/01/2022,424,Calvin,5000+9550,SMC_Xena_1-1,,,,FALSE,
1,1968,07/01/2022,135,Calvin,22*(26+106),868_F12-F13,,,,FALSE,
1,1969,07/01/2022,135,Calvin,22*(94+66+80),868_E14-F14,,,,FALSE,
1,1970,07/01/2022,149,Calvin,576*2,868_F16,,,,FALSE,
1,1971,07/01/2022,684,Calvin,60+56+49,868_row0,,,,FALSE,staging for WO
1,1972,07/01/2022,685,Calvin,4+44+90*3,868_row0,,,,FALSE,staging for WO
1,1973,07/05/2022,628,Calvin,1798+1800,868_IQC,,,,FALSE,
