Bldg,Location,SubLocation
,,
,D2,
868,,
868,868_E8-E13,
868,A12,
868,A13,
868,B-12,
868,B12-C12,
868,C10,
868,C11,
868,C11-C12,
868,C12,
868,C13,
868,C15,
868,"C15, F10",
868,C2,
868,C2-C10,
868,c2-C11,
868,C2-C3,
868,C2-C4,
868,"C2-C4,C10",
868,C2-C5,
868,C2-C6,
868,C2-C9,
868,"C3-C7, D3-D7",
868,C5,
868,C5-C10,
868,C6-C9,
868,C8-C10,
868,"C8-C10,D5-D10",
868,Clean room,
868,D10,
868,"D10,E8",
868,D10-D11,
868,D11,
868,D11 (scrap),
868,D11-D12,
868,D12,
868,D13,
868,D13-D15,
868,D16,
868,"D16, F11",
868,D2,
868,D2-D10,
868,D2-D3,
868,D2-D4,
868,D2-D5,
868,D2-D6,
868,D2-D7,
868,D2-D8,
868,D2-D9,
868,D3-D9,
868,"D4-D10, C6-C10, F8",
868,D5-D10,
868,"D5-D7,D10",
868,D7,
868,D8,
868,D8-D9,
868,D9,
868,E/F8,
868,E10,
868,E10-E13,
868,E11,
868,E12,
868,"E12, E13, F12, F13",
868,E12-13,
868,E13,
868,E14,
868,"E14,F13,F14",
868,"E14-E15, F14",
868,E15,
868,E15-E16,
868,E16,
868,E16-F16,
868,E8,
868,E8-E10,
868,E8-E11,
868,E8-E111,
868,E8-E12,
868,E8-E13,
868,E8-E9,
868,E9,
868,F10,
868,F10?,
868,F10-F11,
868,F11,
868,F12,
868,F12-F13,
868,F12-F14,
868,F14,
868,F15,
868,F16,
868,F7,
868,F8,
868,F8-F10,
868,F8-F9,
868,F9,
868,IQC,
868,IQC + row1,
868,obsolete plt,
868,row0,
868,row1,
868,scrap @ G8,
868_C10,,
868_C11,,
868_C13,,
868_C15,,
868_C15-C16,,
868_C2-C10,,
868_C5-C10,,
868_C6-C10,,
868_C7-C10,,
868_D11,,
868_D12,,
868_D13,,
868_D14-D15,,
868_D16,,
868_D2-D10,,
868_D5-D10,,
868_D6-D10,,
868_D7-D10,,
868_D8-D10,,
868_E/F8,,
868_E14-F14,,
868_E8,,
868_E8-E10,,
868_E8-E11,,
868_E8-E12,,
868_E8-E13,,
868_E8-E9,,
868_F10,,
868_F12,,
868_F12-F13,,
868_F15,,
868_F16,,
868_F8,,
868_F8-F9,,
868_F9,,
868_IQC,,
868_IQC,row 0,
868_row0,,
868_row1,,
868_WestOfWall,,
ALL TO WOs,,
HVC,,
HVC,9-1,
HVC,9-2,
HVC,9-3,
HVC,9-4,
HVC,9-5,
HVC,A,
HVC,"A,B,C",
HVC,"A,C",
HVC,AST_1-1,
HVC,AST_1-2,
HVC,"AST_1-2,3",
HVC,AST_1-3,
HVC,AST_1-4,
HVC,AST_1-5,
HVC,AST_2,
HVC,AST_2-1,
HVC,"AST_2-1, 2-3",
HVC,"AST_2-1,2",
HVC,"AST_2-1,3",
HVC,AST_2-2,
HVC,AST_2-3,
HVC,AST_2-4,
HVC,AST_2-5,
HVC,AST_3-1,
HVC,AST_3-2,
HVC,AST_3-3,
HVC,AST_3-4,
HVC,AST_3-5,
HVC,AST_CAG,
HVC,AST_CAGE,
HVC,"AST_CG, floor",
HVC,AST_CN_6,
HVC,AST_CONS_1-1,
HVC,AST_CONS_1-2,
HVC,AST_CONS_1-3,
HVC,AST_CONS_1-4,
HVC,AST_CONS_1-5,
HVC,AST_CONS_2,
HVC,"AST_CONS_2-1,2",
HVC,AST_CONS_2-3,
HVC,"AST_CONS_2-3,4",
HVC,AST_CONS_2-5,
HVC,AST_CONS_3,
HVC,AST_CONS_3-1,
HVC,AST_CONS_3-2,
HVC,AST_CONS_3-3,
HVC,AST_CONS_3-4,
HVC,AST_CONS_3-5,
HVC,AST_CONS_4,
HVC,"AST_CONS_4-4,5",
HVC,"AST_CONS_4-5,4-4,3-3",
HVC,AST_CONS_5,
HVC,AST_CONS_CAGE,
HVC,AST_CONS_CG,
HVC,AST_CONS_shelf2,
HVC,AST_CONS1,
HVC,AST_CONS1-1,
HVC,AST_CONS1-2,
HVC,"AST_CONS1-2,3,4",
HVC,AST_CONS1-3,
HVC,AST_CONS1-4,
HVC,AST_CONS1-5,
HVC,AST_CONS2,
HVC,AST_CONS2-1,
HVC,"AST_CONS2-1,2",
HVC,AST_CONS2-2,
HVC,"AST_CONS2-2,2-1",
HVC,AST_CONS2-3,
HVC,"AST_CONS2-3,4",
HVC,"AST_CONS2-3,4,5",
HVC,AST_CONS2-4,
HVC,AST_CONS2-5,
HVC,AST_CONS3,
HVC,AST_CONS3-1,
HVC,AST_CONS3-2,
HVC,AST_CONS3-3,
HVC,AST_CONS3-4,
HVC,AST_CONS3-5,
HVC,AST_CONS4,
HVC,AST_CONS4-1,
HVC,"AST_CONS4-1,4",
HVC,AST_CONS4-1to4,
HVC,AST_CONS4-2,
HVC,AST_CONS4-3,
HVC,AST_CONS4-4,
HVC,AST_CONS4-4&5,
HVC,AST_CONS4-5,
HVC,AST_CONS5,
HVC,AST_CONS5-1,
HVC,"AST_CONS5-1,5-2",
HVC,AST_CONS5-2,
HVC,AST_CONS5-3,
HVC,AST_CONS5-4,
HVC,AST_CONS5-5,
HVC,AST_CONScage,
HVC,AST_CONSIGNEDshelf2,
HVC,AST_CONSshlf1,
HVC,AST_CONSshlf2-5,
HVC,AST_CONSshlf3-5,
HVC,AST1-1,
HVC,AST1-2,
HVC,AST1-3,
HVC,AST1-4,
HVC,AST1-5,
HVC,AST2-1,
HVC,"AST-2-1, 2-3",
HVC,AST2-2,
HVC,AST2-3,
HVC,AST2-4,
HVC,AST2-5,
HVC,AST3-2,
HVC,B,
HVC,B-4,
HVC,C,
HVC,C-1,
HVC,C-2,
HVC,C-3,
HVC,C-4,
HVC,C-5,
HVC,cage,
HVC,CAGE3,
HVC,CN_3-2,
HVC,CN_3-4,
HVC,CN_3-5,
HVC,CN_4,
HVC,CN_4-1,
HVC,CN_4-2,
HVC,CN_4-3,
HVC,CN_4-5,
HVC,CN_CAGE,
HVC,CN_CG,
HVC,CN3,
HVC,CN3-1,
HVC,CN3-2,
HVC,CN3-3,
HVC,CN3-4,
HVC,CN3-5,
HVC,CN4,
HVC,CN4-2,
HVC,CN4-3,
HVC,CN4-5,
HVC,CN5,
HVC,CN6,
HVC,CN6-1,
HVC,desk,
HVC,floor,
HVC,flr,
HVC,flr near door,
HVC,"flr, CN_CG",
HVC,H,
HVC,H_9,
HVC,H_A_CONS_cage,
HVC,H_A_CONS_shelf2,
HVC,H_A_CONSshelf3,
HVC,"H_AST_1-1,2-1",
HVC,"H_AST_CONS3-3,3-4",
HVC,HVC_9,
HVC,"HVC_9-1,2,3,4",
HVC,HVC_RBFB_3-3,
HVC,N,
HVC,N-1-5,
HVC,RBFB order not picked up,
HVC,RBFB_2,
HVC,RBFB_3,
HVC,RBFB_3-1,
HVC,RBFB_3-2,
HVC,RBFB_3-3,
HVC,"RBFB_3-3,3-2,3-1",
HVC,RBFB_3-4,
HVC,RBFB_3-5,
HVC,RBFB3,
HVC,RBFB3-1,
HVC,RBFB3-2,
HVC,"RBFB3-2,3-3,flr",
HVC,RBFB3-3,
HVC,RBFB3-4,
"HVC consshlf2, HVC9",,
HVC_9,,
HVC_9,"9-4, 9-5",
HVC_9-3,,
HVC_AST_1,1-2,
HVC_AST_1,1-4,
HVC_AST_3,,
HVC_AST_3,3-3,
HVC_AST_3,3-4,
HVC_AST_3,3-5,
HVC_AST_CAGE,,
HVC_AST_CONSIGNEDcage,,
HVC_AST_CONSIGNEDshelf2,,
HVC_AST_CONSIGNEDshelf2,2-3,
HVC_AST_CONSIGNEDshelf2,"2-4, 2-5",
HVC_AST_CONSIGNEDshelf2,2-5,
HVC_AST_CONSIGNEDshelf2,shlf 3,
HVC_AST_CONSIGNEDshelf3,,
HVC_AST_CONSIGNEDshelf3,3-3,
HVC_AST_CONSIGNEDshelf3,3-4,
HVC_AST_CONSIGNEDshelf3,"3-4, 3-5",
HVC_AST_CONSIGNEDshelf3,3-5,
HVC_CN_3,,
HVC_CN_4,4-2,
HVC_CN_4,4-3,
HVC_CN_5,5-2,
HVC_CN_CAGE,,
HVC_floor,,
HVC_RBFB_3,3-1,
HVC_RBFB_3,3-2,
HVC_RBFB_3,3-3,
HVC_RBFB_3,3-4,
HVC_RBFB_3,3-5,
HVC_RBFB_3,shlf 1,
HVC_RBFB_3,shlf 3,
HVC_RBFB_3-1,,
HVC_RBFB_3-4,,
IQC,,
IQC,inbnd(aka West),
IQC,Inbound,
IQC,Rcvg area,
IQC,West,
IQC,West dock,
NONE FOUND,,
NOT FOUND,,
NOT FOUND!!,,
Prod,,
SMC,,
SMC,A,
SMC,A-1,
SMC,A-1 plt 1,
SMC,"A-1, B-1",
SMC,"A-1, D-1",
SMC,AST_1 p1,
SMC,AST_1 p2,
SMC,AST_1 p3,
SMC,AST_1 plt 10-14,
