orgID,oldID,Material,Description,PartTypeID,Material type,Material Group,Price,Price Unit,Notes
1,1,02012MW00-600-G,"MB,LGA3647,Lewisburg -2,N/A,PCI-E,DDR4,G",24,ZROH,05,"302,230.00",1000,
1,2,07001541,"Label, 2"" x 0.75"", White, Polyester, Adh",11,ZROH,05,36.80,1000,
1,3,07002344,"Assy, Label, Part and Serial Number Spec",24,ZMOD,03,,,
1,4,07003542,"SCREW, PHILLIP FLAT HEAD, 5MM, 6-32, STL",17,ZROH,03,0.00,1000,
1,5,07003569,"Label, White Polyester, 1.5""x0.5"", Adhes",24,ZROH,05,0.00,1000,
1,6,07005937,"Label, Blank, Mylar, White, 1.75in x 0.5",11,ZROH,05,20.40,1000,
1,7,07005938,"Assembly, Label, Asset Tag, 1.75x0.5",24,ZMOD,SM009,,,
1,8,07005968,"SCREW, PHP, 6-32 X .25 SQ CONE, STL ZI",17,ZROH,05,36.41,1000,
1,9,07007267,"Fan Guard, 80MM, METAL",15,ZROH,03,276.42,1000,
1,10,07009507,"LABEL, MANUF ONLY, FIXED INSTALLATION",11,ZROH,05,62.70,1000,
1,11,07010769,"Assembly, Label, Tray Assembly Config, 1",24,ZMOD,SM009,,,
1,12,07012049,"Label, 1.5"" x .25"", White, Polyester, Ad",11,ZROH,05,16.40,1000,"IMS records # rolls, SAP records # labels,  Multiply # rolls by 10000 for Count qtys"
1,13,070204G00-16K-G,"NIC, PCIe 3.0 x8, 25G, MCX512A-ACAT",24,ZROH,05,"164,900.00",1000,
1,14,070205000-16K-G,"NIC Card,PCI-E,25Gbps,MCX542B-ACAN",24,ZROH,05,"164,900.00",1000,
1,15,07023640,48Vdc Rectifier CC109149423,24,ZROH,02,0.00,1000,
1,16,07050002,"Tape, Kapton with Adhesive Back, 1in x 3 (3M)",11,ZROH,05,"65,000.00",1000,
1,17,07050463,"Tape, Kapton with Adhesive Back, Cut to",24,ZMOD,05,,,
1,18,07082350,"SCREW, PHP, 4-40 X .25 SQ CONE, STL, ZI",17,ZROH,05,30.00,1000,
1,19,07087259,"Label, Blank, White, 0.25"" x 1.25"", Poly",11,ZROH,05,79.74,1000,1 roll=10000 labels??
1,20,07096185,"SCREW, PHP, THREAD FORM,  8-16 X 3/8 LG,",17,ZROH,05,65.75,1000,
