Material,Plant,Valuation Type,Material description,Last Change,Material type,Material Group,Base Unit of Measure,Purchasing Group,ABC Indicator,MRP Type,Valuation Class,Price control,Price,Currency,Price unit,Created by
00033754-403-PKG,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, Packaging",09/28/2021,ZROH,UMOTHR,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-403-PTH,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, PTH",03/08/2022,ZROH,SM009,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-403-SMT,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, SMT",03/08/2022,ZROH,SM009,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-503-PKG,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, Packaging",09/28/2021,ZROH,UMOTHR,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-503-PTH,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, PTH",09/28/2021,ZROH,SM009,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
00033754-503-SMT,FW61,,"PCBA,MB,A00,CLX,CANNONBALL, SMT",09/28/2021,ZROH,SM009,EA,FW3,C,ND,3000,V,0.00,USD,"10,000",FIIWENG02
0101GES0A-S0002,FW62,,"RigidPCB,RiserCardBoard,Thunder2.0PCIERi",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,676.00,USD,"1,000",FIIWENG02
0101K4P00-613-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_EVT,16,EM5",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,800,000.00",USD,"10,000",FIIWENG02
0101K4P00-756-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_Pre-EVT3(E",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,800,000.00",USD,"10,000",FIIWENG02
0101K4Q00-613-G,FW62,,PCB_16L_EM528+HVLP_Conan,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,890,000.00",USD,"10,000",FIIWENG02
0101K4Q00-756-G,FW62,,PCB_16L_EM528+HVLP_Conan,09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,795,000.00",USD,"10,000",FIIWENG02
0101K4Q01-613-G,FW62,,"Rigid PCB,Server M/B,CONAN_MB_Pre-EVT4(E",09/07/2022,ZROH,UMOTHR,EA,SP6,A,PD,3000,V,"2,350,000.00",USD,"10,000",FIIWENG02
