| id   | MenuID | OptionNumber | OptionText                                        | Argument                                                         | PWord | TopLine | BottomLine | Command_id | MenuGroup_id |
|   29 |      0 |            0 | Main Menu                                         | Default                                                          |       |       1 |          1 |       NULL |            1 |
|   30 |      0 |            1 | Frequently Used Menu                              | 1                                                                |       |       1 |          1 |          1 |            1 |
|   31 |      0 |            2 | Materials                                         | 10                                                               |       |       1 |          1 |          1 |            1 |
|   32 |      0 |            3 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|   33 |      0 |            4 | CM Counts                                         | 24                                                               |       |       1 |          1 |          1 |            1 |
|   34 |      0 |            6 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|   35 |      0 |           10 | Calvin's Menu                                     | 3                                                                |       |       1 |          1 |          1 |            1 |
|   36 |      0 |           11 | Miscellaneous                                     | 90                                                               |       |       1 |          1 |          1 |            1 |
|   37 |      0 |           18 | System Menu                                       | 99                                                               |       |       1 |          1 |          1 |            1 |
|   38 |      0 |           20 | Go Away!                                          |                                                                  |       |       1 |          1 |        200 |            1 |
|   39 |      1 |            0 | Frequently Used                                   |                                                                  |       |       1 |          1 |       NULL |            1 |
|   40 |      1 |            1 | Material                                          | frmMaterial                                                      |       |       1 |          1 |         11 |            1 |
|   41 |      1 |            2 | Part Types (L10 Warehouse Types)                  | frmPartTypes with CountInfo                                      |       |       1 |          1 |         11 |            1 |
|   42 |      1 |            4 | Count Schedule + History                          | frmCount Schedule+History By Counter+Date                        |       |       1 |          1 |         11 |            1 |
|   43 |      1 |            5 | Print Count Agendas and Worksheets                | frmPrintAgendas                                                  |       |       1 |          1 |         11 |            1 |
|   44 |      1 |            6 | CM Count Scheduling Menu                          | 24                                                               |       |       1 |          1 |          1 |            1 |
|   45 |      1 |            7 | Count Entry                                       | frmCountEntry                                                    |       |       1 |          1 |         11 |            1 |
|   46 |      1 |            8 | Daily Counts Performed Report                     | frmCountSummaryPreview                                           |       |       1 |          1 |         11 |            1 |
|   47 |      1 |           10 | Update SAP Table                                  | frmImportSAP                                                     |       |       1 |          1 |         11 |            1 |
