| id    | Material             | Description                                   | SAPMaterialType | SAPMaterialGroup | Price  | PriceUnit | Notes                                                                                                                                          | PartType_id | org_id | TypicalContainerQty | TypicalPalletQty |
|  9137 | 02012MW00-600-G      | MB,LGA3647,Lewisburg -2,N/A,PCI-E,DDR4,G      | ZROH            | 05               |    302 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9138 | 07001541             | Label, 2" x 0.75", White, Polyester, Adh      | ZROH            | 05               |   36.8 |      1000 |                                                                                                                                                |          13 |      1 |                NULL |             NULL |
|  9139 | 07002344             | Assy, Label, Part and Serial Number Spec      | ZMOD            | 03               |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9140 | 07003542             | SCREW, PHILLIP FLAT HEAD, 5MM, 6-32, STL      | ZROH            | 03               |      0 |      1000 |                                                                                                                                                |          17 |      1 |                NULL |             NULL |
|  9141 | 07003569             | Label, White Polyester, 1.5"x0.5", Adhes      | ZROH            | 05               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9142 | 07005937             | Label, Blank, Mylar, White, 1.75in x 0.5      | ZROH            | 05               |   20.4 |      1000 |                                                                                                                                                |          13 |      1 |                NULL |             NULL |
|  9143 | 07005938             | Assembly, Label, Asset Tag, 1.75x0.5          | ZMOD            | SM009            |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9144 | 07005968             | SCREW, PHP, 6-32 X .25 SQ CONE, STL ZI        | ZROH            | 05               |  36.41 |      1000 |                                                                                                                                                |          17 |      1 |                NULL |             NULL |
|  9145 | 07007267             | Fan Guard, 80MM, METAL                        | ZROH            | 03               | 276.42 |      1000 |                                                                                                                                                |          16 |      1 |                NULL |             NULL |
|  9146 | 07009507             | LABEL, MANUF ONLY, FIXED INSTALLATION         | ZROH            | 05               |   62.7 |      1000 |                                                                                                                                                |          13 |      1 |                NULL |             NULL |
|  9147 | 07010769             | Assembly, Label, Tray Assembly Config, 1      | ZMOD            | SM009            |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9148 | 07012049             | Label, 1.5" x .25", White, Polyester, Ad      | ZROH            | 05               |   16.4 |      1000 | IMS records # rolls, SAP records # labels,  Multiply # rolls by 10000 for Count qtys                                                           |          13 |      1 |                NULL |             NULL |
|  9149 | 070205000-16K-G      | NIC Card,PCI-E,25Gbps,MCX542B-ACAN            | ZROH            | 05               |    164 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9150 | 07023640             | 48Vdc Rectifier CC109149423                   | ZROH            | 02               |      0 |      1000 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9151 | 07050002             | Tape, Kapton with Adhesive Back, 1in x 3 (3M) | ZROH            | 05               |     65 |      1000 |                                                                                                                                                |          13 |      1 |                NULL |             NULL |
|  9152 | 07050463             | Tape, Kapton with Adhesive Back, Cut to       | ZMOD            | 05               |      0 |         0 |                                                                                                                                                |          22 |      1 |                NULL |             NULL |
|  9153 | 07082350             | SCREW, PHP, 4-40 X .25 SQ CONE, STL, ZI       | ZROH            | 05               |     30 |      1000 |                                                                                                                                                |          17 |      1 |                NULL |             NULL |
|  9154 | 07087259             | Label, Blank, White, 0.25" x 1.25", Poly      | ZROH            | 05               |  79.74 |      1000 | 1 roll=10000 labels??                                                                                                                          |          13 |      1 |                NULL |             NULL |
|  9155 | 07096185             | SCREW, PHP, THREAD FORM,  8-16 X 3/8 LG,      | ZROH            | 05               |  65.75 |      1000 |                                                                                                                                                |          17 |      1 |                NULL |             NULL |
|  9156 | 07117984-01          | BRACKET, MODIFIED, FACEPLATE, NIC, GRANI      | ZROH            | 03               |      1 |      1000 |                                                                                                                                                |          16 |      1 |                NULL |             NULL |
